event_id,sku_id,branch_id,detection_source,detection_date,resolution_date,expected_qty,actual_qty,variance_qty,variance_cost,stage_history,assigned_to,current_status
a142cc92-a94d-443a-9b03-3cc8396e0929,HVAC-MOT-ECM-00918,DC-01,picking,2025-11-21T23:39:06.115049,2025-11-25T14:26:10.786731,172,171,-1,-217.46,"[{""stage"": ""detected"", ""started_at"": ""2025-11-21T23:39:06.115049"", ""completed_at"": ""2025-11-21T23:39:06.115049""}, {""stage"": ""investigating"", ""started_at"": ""2025-11-21T23:39:06.115049"", ""completed_at"": ""2025-11-23T14:42:17.217306""}, {""stage"": ""physical_count"", ""started_at"": ""2025-11-23T14:42:17.217306"", ""completed_at"": ""2025-11-24T16:44:24.618811""}, {""stage"": ""system_correction"", ""started_at"": ""2025-11-24T16:44:24.618811"", ""completed_at"": ""2025-11-25T10:05:49.553147""}, {""stage"": ""resolved"", ""started_at"": ""2025-11-25T10:05:49.553147"", ""completed_at"": ""2025-11-25T14:26:10.786731""}]",D. Rivera,resolved
0d276648-b5ae-4ec2-8485-79bb4071e81d,HVAC-MSC-FILTER-01600,BR-104,cycle_count,2025-11-22T01:38:38.845253,2025-11-23T06:31:00.039658,10,9,-1,-78.99,"[{""stage"": ""detected"", ""started_at"": ""2025-11-22T01:38:38.845253"", ""completed_at"": ""2025-11-22T01:38:38.845253""}, {""stage"": ""investigating"", ""started_at"": ""2025-11-22T01:38:38.845253"", ""completed_at"": ""2025-11-22T14:38:12.382735""}, {""stage"": ""physical_count"", ""started_at"": ""2025-11-22T14:38:12.382735"", ""completed_at"": ""2025-11-22T23:17:54.741057""}, {""stage"": ""system_correction"", ""started_at"": ""2025-11-22T23:17:54.741057"", ""completed_at"": ""2025-11-23T05:04:22.979938""}, {""stage"": ""resolved"", ""started_at"": ""2025-11-23T05:04:22.979938"", ""completed_at"": ""2025-11-23T06:31:00.039658""}]",D. Rivera,resolved
c2c77dbe-ad43-4f56-a568-abb398b4d1f4,HVAC-REF-R407C-01737,BR-101,picking,2025-11-22T03:57:55.584121,2025-11-23T19:01:04.122648,128,129,1,183.85,"[{""stage"": ""detected"", ""started_at"": ""2025-11-22T03:57:55.584121"", ""completed_at"": ""2025-11-22T03:57:55.584121""}, {""stage"": ""investigating"", ""started_at"": ""2025-11-22T03:57:55.584121"", ""completed_at"": ""2025-11-22T21:32:20.426458""}, {""stage"": ""physical_count"", ""started_at"": ""2025-11-22T21:32:20.426458"", ""completed_at"": ""2025-11-23T09:15:16.988016""}, {""stage"": ""system_correction"", ""started_at"": ""2025-11-23T09:15:16.988016"", ""completed_at"": ""2025-11-23T17:03:54.695722""}, {""stage"": ""resolved"", ""started_at"": ""2025-11-23T17:03:54.695722"", ""completed_at"": ""2025-11-23T19:01:04.122648""}]",D. Rivera,resolved
41d4d0a2-9c1a-4bae-93a9-f91ac47c221d,HVAC-CTL-CAPACI-01870,BR-102,picking,2025-11-22T05:16:31.149708,2025-11-23T19:42:54.213066,18,19,1,34.03,"[{""stage"": ""detected"", ""started_at"": ""2025-11-22T05:16:31.149708"", ""completed_at"": ""2025-11-22T05:16:31.149708""}, {""stage"": ""investigating"", ""started_at"": ""2025-11-22T05:16:31.149708"", ""completed_at"": ""2025-11-22T22:34:23.528219""}, {""stage"": ""physical_count"", ""started_at"": ""2025-11-22T22:34:23.528219"", ""completed_at"": ""2025-11-23T10:06:18.447226""}, {""stage"": ""system_correction"", ""started_at"": ""2025-11-23T10:06:18.447226"", ""completed_at"": ""2025-11-23T17:47:35.059898""}, {""stage"": ""resolved"", ""started_at"": ""2025-11-23T17:47:35.059898"", ""completed_at"": ""2025-11-23T19:42:54.213066""}]",A. Brooks,resolved
133a4ebe-1349-4b89-906f-ab4b6f5018d5,HVAC-CU-SOFT-02351,DC-01,cycle_count,2025-11-22T05:44:19.654353,2025-11-23T13:54:19.682185,165,164,-1,-64.46,"[{""stage"": ""detected"", ""started_at"": ""2025-11-22T05:44:19.654353"", ""completed_at"": ""2025-11-22T05:44:19.654353""}, {""stage"": ""investigating"", ""started_at"": ""2025-11-22T05:44:19.654353"", ""completed_at"": ""2025-11-22T20:12:49.666877""}, {""stage"": ""physical_count"", ""started_at"": ""2025-11-22T20:12:49.666877"", ""completed_at"": ""2025-11-23T05:51:49.675227""}, {""stage"": ""system_correction"", ""started_at"": ""2025-11-23T05:51:49.675227"", ""completed_at"": ""2025-11-23T12:17:49.680793""}, {""stage"": ""resolved"", ""started_at"": ""2025-11-23T12:17:49.680793"", ""completed_at"": ""2025-11-23T13:54:19.682185""}]",S. Patel,resolved
3f9b3fa5-c4fb-4854-ab68-d0a7df6fbe65,HVAC-REF-R32-02421,BR-102,cycle_count,2025-11-22T06:31:05.807369,2025-11-23T19:33:20.532889,28,29,1,423.54,"[{""stage"": ""detected"", ""started_at"": ""2025-11-22T06:31:05.807369"", ""completed_at"": ""2025-11-22T06:31:05.807369""}, {""stage"": ""investigating"", ""started_at"": ""2025-11-22T06:31:05.807369"", ""completed_at"": ""2025-11-22T23:11:06.433853""}, {""stage"": ""physical_count"", ""started_at"": ""2025-11-22T23:11:06.433853"", ""completed_at"": ""2025-11-23T10:17:46.851509""}, {""stage"": ""system_correction"", ""started_at"": ""2025-11-23T10:17:46.851509"", ""completed_at"": ""2025-11-23T17:42:13.796613""}, {""stage"": ""resolved"", ""started_at"": ""2025-11-23T17:42:13.796613"", ""completed_at"": ""2025-11-23T19:33:20.532889""}]",L. Chen,resolved
4c2e217d-8954-4898-8b11-d0460e5870a9,HVAC-REF-R134A-00124,BR-104,branch_escape,2025-11-22T06:49:17.124957,2025-11-22T20:52:43.264452,116,114,-2,-661.62,"[{""stage"": ""detected"", ""started_at"": ""2025-11-22T06:49:17.124957"", ""completed_at"": ""2025-11-22T06:49:17.124957""}, {""stage"": ""investigating"", ""started_at"": ""2025-11-22T06:49:17.124957"", ""completed_at"": ""2025-11-22T13:08:49.887730""}, {""stage"": ""physical_count"", ""started_at"": ""2025-11-22T13:08:49.887730"", ""completed_at"": ""2025-11-22T17:21:51.729578""}, {""stage"": ""system_correction"", ""started_at"": ""2025-11-22T17:21:51.729578"", ""completed_at"": ""2025-11-22T20:10:32.957477""}, {""stage"": ""resolved"", ""started_at"": ""2025-11-22T20:10:32.957477"", ""completed_at"": ""2025-11-22T20:52:43.264452""}]",L. Chen,resolved
afee2c08-fe6a-4e3d-a73c-92be1ab983f4,HVAC-MOT-CONDEN-00961,BR-104,stocking,2025-11-22T12:46:37.614037,2025-11-23T22:36:52.587340,134,133,-1,-247.67,"[{""stage"": ""detected"", ""started_at"": ""2025-11-22T12:46:37.614037"", ""completed_at"": ""2025-11-22T12:46:37.614037""}, {""stage"": ""investigating"", ""started_at"": ""2025-11-22T12:46:37.614037"", ""completed_at"": ""2025-11-23T04:00:14.352023""}, {""stage"": ""physical_count"", ""started_at"": ""2025-11-23T04:00:14.352023"", ""completed_at"": ""2025-11-23T14:09:18.844014""}, {""stage"": ""system_correction"", ""started_at"": ""2025-11-23T14:09:18.844014"", ""completed_at"": ""2025-11-23T20:55:21.838675""}, {""stage"": ""resolved"", ""started_at"": ""2025-11-23T20:55:21.838675"", ""completed_at"": ""2025-11-23T22:36:52.587340""}]",C. Martinez,resolved
63c18274-3582-482f-b2f1-8f4587025030,HVAC-CU-SOFT-02351,BR-101,cycle_count,2025-11-22T14:48:06.322894,2025-11-23T23:26:10.564596,112,113,1,64.46,"[{""stage"": ""detected"", ""started_at"": ""2025-11-22T14:48:06.322894"", ""completed_at"": ""2025-11-22T14:48:06.322894""}, {""stage"": ""investigating"", ""started_at"": ""2025-11-22T14:48:06.322894"", ""completed_at"": ""2025-11-23T05:29:14.231660""}, {""stage"": ""physical_count"", ""started_at"": ""2025-11-23T05:29:14.231660"", ""completed_at"": ""2025-11-23T15:16:39.504171""}, {""stage"": ""system_correction"", ""started_at"": ""2025-11-23T15:16:39.504171"", ""completed_at"": ""2025-11-23T21:48:16.352511""}, {""stage"": ""resolved"", ""started_at"": ""2025-11-23T21:48:16.352511"", ""completed_at"": ""2025-11-23T23:26:10.564596""}]",C. Martinez,resolved
08c540fc-68c4-4904-905b-cf04ea2e59a3,HVAC-CU-HARD-02003,BR-104,cycle_count,2025-11-22T14:49:38.005679,2025-11-28T12:19:59.020740,137,136,-1,-69.18,"[{""stage"": ""detected"", ""started_at"": ""2025-11-22T14:49:38.005679"", ""completed_at"": ""2025-11-22T14:49:38.005679""}, {""stage"": ""investigating"", ""started_at"": ""2025-11-22T14:49:38.005679"", ""completed_at"": ""2025-11-25T06:30:17.462457""}, {""stage"": ""physical_count"", ""started_at"": ""2025-11-25T06:30:17.462457"", ""completed_at"": ""2025-11-27T00:57:23.766975""}, {""stage"": ""system_correction"", ""started_at"": ""2025-11-27T00:57:23.766975"", ""completed_at"": ""2025-11-28T05:15:27.969987""}, {""stage"": ""resolved"", ""started_at"": ""2025-11-28T05:15:27.969987"", ""completed_at"": ""2025-11-28T12:19:59.020740""}]",J. Nguyen,resolved
288498e3-a291-42b2-a758-ea28356cc1f5,HVAC-CU-HARD-00142,DC-01,picking,2025-11-22T18:07:37.189298,2025-11-23T17:39:27.283112,140,139,-1,-48.59,"[{""stage"": ""detected"", ""started_at"": ""2025-11-22T18:07:37.189298"", ""completed_at"": ""2025-11-22T18:07:37.189298""}, {""stage"": ""investigating"", ""started_at"": ""2025-11-22T18:07:37.189298"", ""completed_at"": ""2025-11-23T04:42:56.731514""}, {""stage"": ""physical_count"", ""started_at"": ""2025-11-23T04:42:56.731514"", ""completed_at"": ""2025-11-23T11:46:29.759658""}, {""stage"": ""system_correction"", ""started_at"": ""2025-11-23T11:46:29.759658"", ""completed_at"": ""2025-11-23T16:28:51.778421""}, {""stage"": ""resolved"", ""started_at"": ""2025-11-23T16:28:51.778421"", ""completed_at"": ""2025-11-23T17:39:27.283112""}]",D. Rivera,resolved
e89da73b-3a34-4f84-abc1-d829de4d1975,HVAC-CTL-PRESSU-01134,BR-102,stocking,2025-11-22T19:07:58.418324,2025-11-28T04:30:33.099133,16,15,-1,-61.68,"[{""stage"": ""detected"", ""started_at"": ""2025-11-22T19:07:58.418324"", ""completed_at"": ""2025-11-22T19:07:58.418324""}, {""stage"": ""investigating"", ""started_at"": ""2025-11-22T19:07:58.418324"", ""completed_at"": ""2025-11-25T05:21:08.024688""}, {""stage"": ""physical_count"", ""started_at"": ""2025-11-25T05:21:08.024688"", ""completed_at"": ""2025-11-26T20:09:54.428931""}, {""stage"": ""system_correction"", ""started_at"": ""2025-11-26T20:09:54.428931"", ""completed_at"": ""2025-11-27T22:02:25.365093""}, {""stage"": ""resolved"", ""started_at"": ""2025-11-27T22:02:25.365093"", ""completed_at"": ""2025-11-28T04:30:33.099133""}]",K. O'Brien,resolved
